age,workclass,education,marital_status,occupation,relationship,race,sex,hours_per_week,income
Senior,Private,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Female,Part-time,<=50K
Middle-age,Private,Middle,Divorced,Machine-op-inspct,Unmarried,White,Female,Full-time,<=50K
Middle-age,Private,Some-college,Separated,Prof-specialty,Own-child,White,Female,Full-time,<=50K
Mid-adult,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,Full-time,<=50K
Mid-adult,Private,HS,Separated,Adm-clerical,Unmarried,White,Male,Full-time,<=50K
Senior,State-gov,Doctorate,Never-married,Prof-specialty,Other-relative,White,Female,Part-time,>50K
Senior,Federal-gov,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female,Full-time,<=50K
Middle-age,Private,Some-college,Never-married,Craft-repair,Unmarried,White,Male,Full-time,>50K
Middle-age,Private,Doctorate,Divorced,Prof-specialty,Unmarried,Black,Female,Middle,>50K
Mid-adult,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Widowed,Other-service,Not-in-family,White,Female,Part-time,>50K
Mid-adult,Private,Masters,Separated,Exec-managerial,Not-in-family,White,Male,Full-time,>50K
Middle-age,Private,Prof-school,Divorced,Prof-specialty,Not-in-family,White,Male,Full-time,>50K
Middle-age,Private,HS,Divorced,Transport-moving,Not-in-family,White,Male,Insanity,>50K
Middle-age,Private,Masters,Divorced,Exec-managerial,Not-in-family,White,Male,Full-time,>50K
Young-adult,Private,Assoc-acdm,Never-married,Handlers-cleaners,Not-in-family,Black,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Separated,Sales,Not-in-family,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,Full-time,>50K
Young-adult,Private,HS,Separated,Sales,Not-in-family,White,Female,Full-time,<=50K
Senior,Private,HS-grad,Divorced,Sales,Unmarried,White,Female,Middle,<=50K
Middle-age,Private,Some-college,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,<=50K
Young-adult,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,Elementary,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,Middle,<=50K
Middle-age,Private,Elementary,Married-civ-spouse,Other-service,Partner,White,Male,Full-time,<=50K
Mid-adult,Self-emp-inc,HS,Never-married,Transport-moving,Not-in-family,White,Male,Full-time,>50K
Mid-adult,Private,HS,Never-married,Prof-specialty,Not-in-family,White,Male,Insanity,>50K
Young-adult,Private,Some-college,Separated,Other-service,Not-in-family,White,Male,Full-time,>50K
Middle-age,Self-emp-inc,HS,Widowed,Exec-managerial,Unmarried,White,Female,Full-time,>50K
Middle-age,Private,Prof-school,Divorced,Exec-managerial,Not-in-family,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,Full-time,>50K
Senior,Self-emp-not-inc,HS-grad,Never-married,Exec-managerial,Not-in-family,Black,Male,Full-time,>50K
Senior,Federal-gov,Doctorate,Divorced,Exec-managerial,Not-in-family,White,Female,Full-time,>50K
Middle-age,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,Full-time,>50K
Middle-age,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,Full-time,>50K
Mid-adult,Self-emp-not-inc,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,Full-time,>50K
Middle-age,Private,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,Full-time,>50K
Middle-age,Private,Bachelors,Divorced,Exec-managerial,Unmarried,White,Male,Full-time,>50K
Middle-age,Private,Masters,Divorced,Exec-managerial,Unmarried,White,Female,Full-time,>50K
Middle-age,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,Full-time,>50K
Middle-age,Private,Masters,Divorced,Prof-specialty,Unmarried,White,Female,Full-time,>50K
Middle-age,Private,Bachelors,Married-spouse-absent,Sales,Unmarried,White,Female,Insanity,>50K
Senior,Private,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Full-time,<=50K
Senior,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Partner,Asian-Pac-Islander,Male,Full-time,<=50K
Middle-age,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Widowed,Sales,Not-in-family,White,Female,Insanity,>50K
Middle-age,State-gov,Assoc-voc,Divorced,Tech-support,Not-in-family,White,Male,Middle,>50K
Middle-age,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,Full-time,>50K
Mid-adult,Private,Masters,Never-married,Sales,Not-in-family,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Never-married,Exec-managerial,Other-relative,White,Male,Full-time,>50K
Middle-age,Private,Some-college,Separated,Craft-repair,Not-in-family,White,Male,Full-time,>50K
Middle-age,Local-gov,Some-college,Never-married,Protective-serv,Not-in-family,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,Full-time,>50K
Mid-adult,Private,Assoc-voc,Separated,Craft-repair,Not-in-family,White,Male,Full-time,>50K
Middle-age,Private,Assoc-acdm,Divorced,Craft-repair,Not-in-family,White,Male,Insanity,>50K
Middle-age,Self-emp-inc,HS,Never-married,Exec-managerial,Other-relative,White,Male,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Adm-clerical,Partner,White,Female,Part-time,>50K
Middle-age,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Partner,Asian-Pac-Islander,Male,Full-time,>50K
Middle-age,Private,Prof-school,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Senior,Self-emp-inc,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Insanity,>50K
Mid-adult,Private,Masters,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Partner,White,Male,Middle,>50K
Mid-adult,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Masters,Married-civ-spouse,Exec-managerial,Partner,White,Female,Insanity,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Private,Masters,Married-civ-spouse,Sales,Partner,White,Male,Insanity,>50K
Middle-age,Private,Masters,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Senior,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Partner,White,Male,Insanity,>50K
Mid-adult,Private,Masters,Married-civ-spouse,Exec-managerial,Partner,White,Male,Insanity,>50K
Middle-age,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Partner,White,Male,Full-time,>50K
Mid-adult,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Mid-adult,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Partner,Asian-Pac-Islander,Male,Full-time,>50K
Middle-age,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-inc,Masters,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
